2016-12-13 15:56:42	5f3ab6c43143148fe7b7972c4f1ae0ed.584f9baa7b8892.08329355	122.212.217.82	122x212x217x82.ap122.ftth.ucom.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-12-13%2015%3A56%3A41%3A627%22%7D/x.js	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.21 Safari/537.36
2016-12-13 17:20:40	55ae8ef8628e0f8d24166d0eb8f0f156.584faf58ed6e60.93795393	58.93.127.7	i58-93-127-7.s41.a013.ap.plala.or.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-12-13%2017%3A20%3A40%3A777%22%7D/x.js	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36
2016-12-13 17:20:57	55ae8ef8628e0f8d24166d0eb8f0f156.584faf58ed6e60.93795393	58.93.127.7	i58-93-127-7.s41.a013.ap.plala.or.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-12-13%2017%3A20%3A57%3A135%22%7D/x.js	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36
2016-12-13 17:20:58	55ae8ef8628e0f8d24166d0eb8f0f156.584faf58ed6e60.93795393	58.93.127.7	i58-93-127-7.s41.a013.ap.plala.or.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-12-13%2017%3A20%3A58%3A471%22%7D/x.js	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36
2016-12-13 17:21:10	55ae8ef8628e0f8d24166d0eb8f0f156.584faf58ed6e60.93795393	58.93.127.7	i58-93-127-7.s41.a013.ap.plala.or.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-12-13%2017%3A21%3A09%3A951%22%7D/x.js	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36
2016-12-13 17:21:17	55ae8ef8628e0f8d24166d0eb8f0f156.584faf58ed6e60.93795393	58.93.127.7	i58-93-127-7.s41.a013.ap.plala.or.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-12-13%2017%3A21%3A17%3A708%22%7D/x.js	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36
2016-12-13 17:22:20	55ae8ef8628e0f8d24166d0eb8f0f156.584faf58ed6e60.93795393	58.93.127.7	i58-93-127-7.s41.a013.ap.plala.or.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-12-13%2017%3A22%3A20%3A831%22%7D/x.js	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36
2016-12-13 17:22:31	55ae8ef8628e0f8d24166d0eb8f0f156.584faf58ed6e60.93795393	58.93.127.7	i58-93-127-7.s41.a013.ap.plala.or.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-12-13%2017%3A22%3A31%3A059%22%7D/x.js	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36
2016-12-13 17:30:42	55ae8ef8628e0f8d24166d0eb8f0f156.584faf58ed6e60.93795393	58.93.127.7	i58-93-127-7.s41.a013.ap.plala.or.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-12-13%2017%3A30%3A42%3A399%22%7D/x.js	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36
