2016-10-28 10:51:28	6ac091d93cd5e77ea411e2dd5675e4e1.5804caa58608a5.11275726	182.250.250.235	KD182250250235.au-net.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-10-28%2010%3A51%3A28%3A706%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1
2016-10-28 23:11:46	815e34d43b18b907c4aa9b43d5a172bc.5809e4d7bddd62.19085041	46.135.190.249	cst-prg-190-249.cust.vodafone.cz	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-10-28%2016%3A11%3A45%3A611%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.0.1; SAMSUNG GT-I9505 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36
2016-10-28 23:12:36	815e34d43b18b907c4aa9b43d5a172bc.5809e4d7bddd62.19085041	46.135.190.249	cst-prg-190-249.cust.vodafone.cz	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22gcvAPI%22%2C%22time%22%3A%222016-10-28%2016%3A12%3A35%3A921%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.0.1; SAMSUNG GT-I9505 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36
2016-10-28 23:13:08	815e34d43b18b907c4aa9b43d5a172bc.5809e4d7bddd62.19085041	46.135.190.249	cst-prg-190-249.cust.vodafone.cz	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E7%A7%8B%E6%91%98%E3%81%BF%22%2C%22time%22%3A%222016-10-28%2016%3A13%3A07%3A428%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.0.1; SAMSUNG GT-I9505 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36
2016-10-28 23:13:08	815e34d43b18b907c4aa9b43d5a172bc.5809e4d7bddd62.19085041	46.135.190.249	cst-prg-190-249.cust.vodafone.cz	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E7%A7%8B%E6%91%98%E3%81%BF%E3%81%AE%22%2C%22time%22%3A%222016-10-28%2016%3A13%3A08%3A566%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.0.1; SAMSUNG GT-I9505 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36
2016-10-28 23:13:09	815e34d43b18b907c4aa9b43d5a172bc.5809e4d7bddd62.19085041	46.135.190.249	cst-prg-190-249.cust.vodafone.cz	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E7%A7%8B%E6%91%98%E3%81%BF%E3%81%AE%E7%95%AA%E8%8C%B6%22%2C%22time%22%3A%222016-10-28%2016%3A13%3A09%3A412%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.0.1; SAMSUNG GT-I9505 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36
2016-10-28 23:13:10	815e34d43b18b907c4aa9b43d5a172bc.5809e4d7bddd62.19085041	46.135.190.249	cst-prg-190-249.cust.vodafone.cz	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E7%A7%8B%E6%91%98%E3%81%BF%E3%81%AE%E7%95%AA%E8%8C%B6%E3%81%AB%22%2C%22time%22%3A%222016-10-28%2016%3A13%3A10%3A186%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.0.1; SAMSUNG GT-I9505 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36
2016-10-28 23:13:12	815e34d43b18b907c4aa9b43d5a172bc.5809e4d7bddd62.19085041	46.135.190.249	cst-prg-190-249.cust.vodafone.cz	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E7%A7%8B%E6%91%98%E3%81%BF%E3%81%AE%E7%95%AA%E8%8C%B6%E3%81%AB%E3%80%81%22%2C%22time%22%3A%222016-10-28%2016%3A13%3A12%3A576%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.0.1; SAMSUNG GT-I9505 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36
2016-10-28 23:13:13	815e34d43b18b907c4aa9b43d5a172bc.5809e4d7bddd62.19085041	46.135.190.249	cst-prg-190-249.cust.vodafone.cz	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E7%A7%8B%E6%91%98%E3%81%BF%E3%81%AE%E7%95%AA%E8%8C%B6%E3%81%AB%E3%80%81%E8%92%B8%E3%81%97%22%2C%22time%22%3A%222016-10-28%2016%3A13%3A13%3A919%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.0.1; SAMSUNG GT-I9505 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36
2016-10-28 23:13:23	815e34d43b18b907c4aa9b43d5a172bc.5809e4d7bddd62.19085041	46.135.190.249	cst-prg-190-249.cust.vodafone.cz	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22search%22%2C%22string%22%3A%22%E7%A7%8B%E6%91%98%E3%81%BF%E3%81%AE%E7%95%AA%E8%8C%B6%E3%81%AB%E3%80%81%E8%92%B8%E3%81%97%22%2C%22time%22%3A%222016-10-28%2016%3A13%3A22%3A655%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.0.1; SAMSUNG GT-I9505 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36
