2016-10-25 04:09:11	71221da74dc29fb293962a0c38aef5e3.5805fb7eaffff5.38488026	91.105.20.73	91.105.20.73	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E5%90%8A%E3%82%8A%E4%B8%8B%E3%81%92%E3%81%AB%E5%90%8A%E3%82%8A%E4%B8%8B%E3%81%92%E3%81%AB%22%2C%22time%22%3A%222016-10-24%2022%3A09%3A10%3A745%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.1.1; A0001 Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.124 Mobile Safari/537.36
2016-10-25 04:09:12	71221da74dc29fb293962a0c38aef5e3.5805fb7eaffff5.38488026	91.105.20.73	91.105.20.73	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E5%90%8A%E3%82%8A%E4%B8%8B%E3%81%92%E3%81%AB%E5%90%8A%E3%82%8A%E4%B8%8B%E3%81%92%E3%81%AB%E5%90%8A%E3%82%8A%22%2C%22time%22%3A%222016-10-24%2022%3A09%3A11%3A882%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.1.1; A0001 Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.124 Mobile Safari/537.36
2016-10-25 04:09:14	71221da74dc29fb293962a0c38aef5e3.5805fb7eaffff5.38488026	91.105.20.73	91.105.20.73	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E4%BE%BF%E5%88%A9%22%2C%22time%22%3A%222016-10-24%2022%3A09%3A14%3A436%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.1.1; A0001 Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.124 Mobile Safari/537.36
2016-10-25 04:09:16	71221da74dc29fb293962a0c38aef5e3.5805fb7eaffff5.38488026	91.105.20.73	91.105.20.73	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E4%BE%BF%E5%88%A9%E3%81%AA%22%2C%22time%22%3A%222016-10-24%2022%3A09%3A15%3A731%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.1.1; A0001 Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.124 Mobile Safari/537.36
2016-10-25 04:09:17	71221da74dc29fb293962a0c38aef5e3.5805fb7eaffff5.38488026	91.105.20.73	91.105.20.73	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22search%22%2C%22string%22%3A%22%E4%BE%BF%E5%88%A9%E3%81%AA%22%2C%22time%22%3A%222016-10-24%2022%3A09%3A17%3A453%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.1.1; A0001 Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.124 Mobile Safari/537.36
2016-10-25 04:09:20	71221da74dc29fb293962a0c38aef5e3.5805fb7eaffff5.38488026	91.105.20.73	91.105.20.73	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22detailShow%22%2C%22string%22%3A%22%E4%BE%BF%E5%88%A9%E3%81%AA%22%2C%22recipes%22%3A%5B%5D%2C%22VOD%22%3A%5B%5D%2C%22time%22%3A%222016-10-24%2022%3A09%3A20%3A315%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.1.1; A0001 Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.124 Mobile Safari/537.36
2016-10-25 04:09:31	71221da74dc29fb293962a0c38aef5e3.5805fb7eaffff5.38488026	91.105.20.73	91.105.20.73	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-10-24%2022%3A09%3A31%3A908%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.1.1; A0001 Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.124 Mobile Safari/537.36
2016-10-25 04:09:32	71221da74dc29fb293962a0c38aef5e3.5805fb7eaffff5.38488026	91.105.20.73	91.105.20.73	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-10-24%2022%3A09%3A32%3A756%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.1.1; A0001 Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.124 Mobile Safari/537.36
2016-10-25 04:10:21	71221da74dc29fb293962a0c38aef5e3.5805fb7eaffff5.38488026	91.105.20.73	91.105.20.73	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22gcvAPI%22%2C%22time%22%3A%222016-10-24%2022%3A10%3A20%3A721%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.1.1; A0001 Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.124 Mobile Safari/537.36
2016-10-25 04:10:30	71221da74dc29fb293962a0c38aef5e3.5805fb7eaffff5.38488026	91.105.20.73	91.105.20.73	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E5%90%8A%E3%82%8A%22%2C%22time%22%3A%222016-10-24%2022%3A10%3A30%3A550%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.1.1; A0001 Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.124 Mobile Safari/537.36
